employee_id,full_name,gender,age,education,city,department,job_title,job_level,employment_type,hire_date,exit_date,tenure_years,annual_salary_inr,performance_score,satisfaction_score,training_hours,promotions,manager_id,attrition,exit_reason,attrition_flag,hire_year,hire_month,exit_year,exit_month,age_band,salary_band,perf_category,engagement_risk,salary_L
EMP1001,Om Dugar,Male,48,Bachelor's,Chennai,Operations,Junior Operations Specialist,Junior,Part-time,2020-09-09,,4.31,308304,3.8,3.5,15,1,EMP1065,No,Active,0,2020,9,,,46+,<5L,Good,0,3.08
EMP1002,Ekaraj Pradhan,Female,32,Master's,Pune,Engineering,Mid Engineering Specialist,Mid,Full-time,2021-07-05,,3.49,778127,3.9,5.0,11,0,EMP1044,No,Active,0,2021,7,,,26-35,5-9L,Good,0,7.78
EMP1003,Hemang Mane,Male,38,Master's,Delhi,Engineering,Director Engineering Specialist,Director,Full-time,2015-12-12,2024-02-16,9.06,4342791,3.2,4.2,40,0,EMP1100,Yes,Limited growth,1,2015,12,2024.0,2.0,36-45,20L+,Good,0,43.43
EMP1004,Girindra Salvi,Male,25,Master's,Hyderabad,Engineering,Mid Engineering Specialist,Mid,Full-time,2021-09-14,,3.3,856662,4.0,3.2,23,0,EMP1075,No,Active,0,2021,9,,,26-35,5-9L,Excellent,0,8.57
EMP1005,Omisha Buch,Male,41,Master's,Bengaluru,Finance,Senior Finance Specialist,Senior,Full-time,2018-12-03,,6.08,1315408,3.8,3.2,52,1,EMP1043,No,Active,0,2018,12,,,36-45,9-14L,Good,0,13.15
EMP1006,Vasudha Warrior,Male,22,Bachelor's,Mumbai,Operations,Lead Operations Specialist,Lead,Contract,2022-07-07,,2.49,1284278,3.0,3.8,47,2,EMP1063,No,Active,0,2022,7,,,18-25,9-14L,Good,0,12.84
EMP1007,Zaitra Sidhu,Male,46,Master's,Chennai,HR,Junior HR Specialist,Junior,Contract,2016-07-17,,8.46,308376,1.9,2.0,8,1,EMP1099,No,Active,0,2016,7,,,46+,<5L,Low,1,3.08
EMP1008,Yash Dhar,Female,41,PhD,Mumbai,Engineering,Senior Engineering Specialist,Senior,Part-time,2021-09-12,,3.3,1803103,3.0,2.7,9,0,EMP1087,No,Active,0,2021,9,,,36-45,14-20L,Good,0,18.03
EMP1009,Andrew Karpe,Male,39,Bachelor's,Kolkata,Sales,Senior Sales Specialist,Senior,Part-time,2019-12-25,,5.02,1356365,3.7,2.8,28,0,EMP1074,No,Active,0,2019,12,,,36-45,9-14L,Good,0,13.56
EMP1010,Jack Raja,Male,27,PhD,Kolkata,Engineering,Director Engineering Specialist,Director,Full-time,2020-03-06,,4.82,3270540,2.3,4.9,36,0,EMP1062,No,Active,0,2020,3,,,26-35,20L+,Average,0,32.71
EMP1011,Qadim Master,Male,24,Master's,Delhi,Engineering,Manager Engineering Specialist,Manager,Full-time,2021-03-21,,3.78,1716909,3.2,3.7,69,0,EMP1056,No,Active,0,2021,3,,,18-25,14-20L,Good,0,17.17
EMP1012,Leela Vaidya,Male,34,Master's,Mumbai,Sales,Junior Sales Specialist,Junior,Full-time,2017-06-28,,7.52,695832,2.3,3.1,14,0,EMP1004,No,Active,0,2017,6,,,26-35,5-9L,Average,0,6.96
EMP1013,Zilmil Baral,Male,48,Master's,Kolkata,Engineering,Mid Engineering Specialist,Mid,Full-time,2016-02-10,,8.9,1484924,3.5,2.6,64,0,EMP1001,No,Active,0,2016,2,,,46+,14-20L,Good,0,14.85
EMP1014,Charita Khosla,Female,41,Master's,Bengaluru,Engineering,Manager Engineering Specialist,Manager,Part-time,2015-03-19,,9.79,2099484,3.7,3.1,34,0,EMP1007,No,Active,0,2015,3,,,36-45,20L+,Good,0,20.99
EMP1015,Ethan Walia,Male,39,Bachelor's,Pune,Operations,Junior Operations Specialist,Junior,Full-time,2022-03-02,,2.84,548926,3.2,3.1,22,0,EMP1001,No,Active,0,2022,3,,,36-45,5-9L,Good,0,5.49
EMP1016,Yahvi Varkey,Female,33,Bachelor's,Pune,Operations,Senior Operations Specialist,Senior,Full-time,2017-09-12,,7.31,995437,4.9,3.6,68,1,EMP1050,No,Active,0,2017,9,,,26-35,9-14L,Excellent,0,9.95
EMP1017,Gaurangi Prashad,Male,47,Bachelor's,Mumbai,Engineering,Manager Engineering Specialist,Manager,Part-time,2015-06-28,,9.52,2982152,2.6,4.3,17,1,EMP1095,No,Active,0,2015,6,,,46+,20L+,Average,0,29.82
EMP1018,Samuel Nayar,Female,48,Master's,Hyderabad,Operations,Lead Operations Specialist,Lead,Contract,2016-06-30,,8.51,620835,2.4,3.8,65,1,EMP1018,No,Active,0,2016,6,,,46+,5-9L,Average,0,6.21
EMP1019,Anamika Hora,Male,31,Master's,Kolkata,Finance,Junior Finance Specialist,Junior,Full-time,2023-09-15,2024-03-25,1.3,685935,1.8,3.0,36,0,EMP1083,Yes,Relocation,1,2023,9,2024.0,3.0,26-35,5-9L,Low,0,6.86
EMP1020,Faraj Prakash,Male,33,Bachelor's,Hyderabad,Engineering,Junior Engineering Specialist,Junior,Part-time,2019-01-02,,6.0,601158,4.0,3.8,53,0,EMP1024,No,Active,0,2019,1,,,26-35,5-9L,Excellent,0,6.01
EMP1021,Krishna Bhattacharyya,Female,45,Bachelor's,Hyderabad,Finance,Mid Finance Specialist,Mid,Full-time,2020-07-30,,4.42,1068796,3.3,3.3,27,0,EMP1042,No,Active,0,2020,7,,,46+,9-14L,Good,0,10.69
EMP1022,Yash Jayaraman,Male,44,Bachelor's,Hyderabad,Operations,Junior Operations Specialist,Junior,Full-time,2018-09-05,,6.33,464307,2.2,3.0,49,1,EMP1056,No,Active,0,2018,9,,,36-45,<5L,Average,0,4.64
EMP1023,Aradhana Bobal,Male,47,Master's,Mumbai,Sales,Mid Sales Specialist,Mid,Contract,2023-11-16,,1.13,466785,3.0,4.6,22,1,EMP1087,No,Active,0,2023,11,,,46+,<5L,Good,0,4.67
EMP1024,Unni Tailor,Male,34,Diploma,Bengaluru,Engineering,Lead Engineering Specialist,Lead,Full-time,2015-05-23,,9.62,1321834,3.7,2.0,61,2,EMP1048,No,Active,0,2015,5,,,26-35,9-14L,Good,0,13.22
EMP1025,Qadim Lal,Male,30,Bachelor's,Bengaluru,Marketing,Mid Marketing Specialist,Mid,Full-time,2015-11-11,,9.15,1021962,3.7,3.3,27,0,EMP1050,No,Active,0,2015,11,,,26-35,9-14L,Good,0,10.22
EMP1026,Onveer Sodhi,Male,41,Bachelor's,Hyderabad,Sales,Manager Sales Specialist,Manager,Full-time,2016-04-27,,8.68,1375801,2.9,4.2,21,2,EMP1058,No,Active,0,2016,4,,,36-45,9-14L,Average,0,13.76
EMP1027,Dayamai Shukla,Female,32,Master's,Chennai,Engineering,Junior Engineering Specialist,Junior,Full-time,2022-12-31,,2.0,1257142,4.2,4.4,73,0,EMP1039,No,Active,0,2022,12,,,26-35,9-14L,Excellent,0,12.57
EMP1028,Zaitra Vig,Male,28,Master's,Mumbai,Engineering,Lead Engineering Specialist,Lead,Part-time,2022-12-25,,2.02,1691486,2.7,3.3,7,0,EMP1074,No,Active,0,2022,12,,,26-35,14-20L,Average,0,16.91
EMP1029,Jason Bedi,Female,37,Master's,Kolkata,HR,Mid HR Specialist,Mid,Full-time,2021-03-09,2023-03-02,3.82,478516,3.7,2.4,77,0,EMP1041,Yes,Limited growth,1,2021,3,2023.0,3.0,36-45,<5L,Good,0,4.79
EMP1030,Indira Krishnan,Female,46,Master's,Pune,Operations,Senior Operations Specialist,Senior,Full-time,2020-01-18,,4.96,1169667,3.3,2.6,20,0,EMP1008,No,Active,0,2020,1,,,46+,9-14L,Good,0,11.7
EMP1031,Watika Kalita,Female,50,Bachelor's,Bengaluru,Finance,Lead Finance Specialist,Lead,Full-time,2020-10-23,2022-04-27,4.19,1095986,2.4,4.0,74,0,EMP1081,Yes,Limited growth,1,2020,10,2022.0,4.0,46+,9-14L,Average,0,10.96
EMP1032,Wakeeta Mody,Female,26,Bachelor's,Pune,Finance,Mid Finance Specialist,Mid,Part-time,2020-12-25,,4.02,698325,3.3,4.5,47,1,EMP1073,No,Active,0,2020,12,,,26-35,5-9L,Good,0,6.98
EMP1033,Yashodhara Issac,Female,42,Bachelor's,Pune,Operations,Junior Operations Specialist,Junior,Full-time,2015-04-27,,9.69,296016,3.7,3.0,7,0,EMP1081,No,Active,0,2015,4,,,36-45,<5L,Good,0,2.96
EMP1034,Pratyush Zacharia,Female,31,Master's,Chennai,Legal,Mid Legal Specialist,Mid,Full-time,2022-03-14,,2.8,1428647,3.7,5.0,60,0,EMP1060,No,Active,0,2022,3,,,26-35,14-20L,Good,0,14.29
EMP1035,Ranbir Boase,Female,49,Bachelor's,Hyderabad,Sales,Junior Sales Specialist,Junior,Full-time,2021-10-20,,3.2,404692,3.4,5.0,51,0,EMP1014,No,Active,0,2021,10,,,46+,<5L,Good,0,4.05
