employee_id,full_name,gender,age,education,city,department,job_title,job_level,employment_type,hire_date,exit_date,tenure_years,annual_salary_inr,performance_score,satisfaction_score,training_hours,promotions,manager_id,attrition,exit_reason
EMP1001,Om Dugar,Male,48,Bachelor's,Chennai,Operations,Junior Operations Specialist,Junior,Part-time,2020-09-09,,4.31,308304,3.8,3.5,15,1,EMP1065,No,
EMP1002,Ekaraj Pradhan,Female,32,Master's,Pune,Engineering,Mid Engineering Specialist,Mid,Full-time,2021-07-05,,3.49,778127,3.9,5.0,11,0,EMP1044,No,
EMP1003,Hemang Mane,Male,38,Master's,Delhi,Engineering,Director Engineering Specialist,Director,Full-time,2015-12-12,2024-02-16,9.06,4342791,3.2,4.2,40,0,EMP1100,Yes,Limited growth
EMP1004,Girindra Salvi,Male,25,Master's,Hyderabad,Engineering,Mid Engineering Specialist,Mid,Full-time,2021-09-14,,3.3,856662,4.0,3.2,23,0,EMP1075,No,
EMP1005,Omisha Buch,Male,41,Master's,Bengaluru,Finance,Senior Finance Specialist,Senior,Full-time,2018-12-03,,6.08,1315408,3.8,3.2,52,1,EMP1043,No,
EMP1006,Vasudha Warrior,Male,22,Bachelor's,Mumbai,Operations,Lead Operations Specialist,Lead,Contract,2022-07-07,,2.49,1284278,3.0,3.8,47,2,EMP1063,No,
EMP1007,Zaitra Sidhu,Male,46,Master's,Chennai,HR,Junior HR Specialist,Junior,Contract,2016-07-17,,8.46,308376,1.9,2.0,8,1,EMP1099,No,
EMP1008,Yash Dhar,Female,41,PhD,Mumbai,Engineering,Senior Engineering Specialist,Senior,Part-time,2021-09-12,,3.3,1803103,3.0,2.7,9,0,EMP1087,No,
EMP1009,Andrew Karpe,Male,39,Bachelor's,Kolkata,Sales,Senior Sales Specialist,Senior,Part-time,2019-12-25,,5.02,1356365,3.7,2.8,28,0,EMP1074,No,
EMP1010,Jack Raja,Male,27,PhD,Kolkata,Engineering,Director Engineering Specialist,Director,Full-time,2020-03-06,,4.82,3270540,2.3,4.9,36,0,EMP1062,No,
EMP1011,Qadim Master,Male,24,Master's,Delhi,Engineering,Manager Engineering Specialist,Manager,Full-time,2021-03-21,,3.78,1716909,3.2,3.7,69,0,EMP1056,No,
EMP1012,Leela Vaidya,Male,34,Master's,Mumbai,Sales,Junior Sales Specialist,Junior,Full-time,2017-06-28,,7.52,695832,2.3,3.1,14,0,EMP1004,No,
EMP1013,Zilmil Baral,Male,48,Master's,Kolkata,Engineering,Mid Engineering Specialist,Mid,Full-time,2016-02-10,,8.9,1484924,3.5,2.6,64,0,EMP1001,No,
EMP1014,Charita Khosla,Female,41,Master's,Bengaluru,Engineering,Manager Engineering Specialist,Manager,Part-time,2015-03-19,,9.79,2099484,3.7,3.1,34,0,EMP1007,No,
EMP1015,Ethan Walia,Male,39,Bachelor's,Pune,Operations,Junior Operations Specialist,Junior,Full-time,2022-03-02,,2.84,548926,3.2,3.1,22,0,EMP1001,No,
EMP1016,Yahvi Varkey,Female,33,Bachelor's,Pune,Operations,Senior Operations Specialist,Senior,Full-time,2017-09-12,,7.31,995437,4.9,3.6,68,1,EMP1050,No,
EMP1017,Gaurangi Prashad,Male,47,Bachelor's,Mumbai,Engineering,Manager Engineering Specialist,Manager,Part-time,2015-06-28,,9.52,2982152,2.6,4.3,17,1,EMP1095,No,
EMP1018,Samuel Nayar,Female,48,Master's,Hyderabad,Operations,Lead Operations Specialist,Lead,Contract,2016-06-30,,8.51,620835,2.4,3.8,65,1,EMP1018,No,
EMP1019,Anamika Hora,Male,31,Master's,Kolkata,Finance,Junior Finance Specialist,Junior,Full-time,2023-09-15,2024-03-25,1.3,685935,1.8,3.0,36,0,EMP1083,Yes,Relocation
EMP1020,Faraj Prakash,Male,33,Bachelor's,Hyderabad,Engineering,Junior Engineering Specialist,Junior,Part-time,2019-01-02,,6.0,601158,4.0,3.8,53,0,EMP1024,No,
EMP1021,Krishna Bhattacharyya,Female,45,Bachelor's,Hyderabad,Finance,Mid Finance Specialist,Mid,Full-time,2020-07-30,,4.42,1068796,3.3,3.3,27,0,EMP1042,No,
EMP1022,Yash Jayaraman,Male,44,Bachelor's,Hyderabad,Operations,Junior Operations Specialist,Junior,Full-time,2018-09-05,,6.33,464307,2.2,3.0,49,1,EMP1056,No,
